Date,Opening_Price
01/03/1973,112.4
02/03/1973,112.4
03/03/1973,112.4
04/03/1973,112.4
05/03/1973,112.4
06/03/1973,112.4
07/03/1973,112.4
08/03/1973,112.4
09/03/1973,112.4
10/03/1973,112.4
11/03/1973,112.4
12/03/1973,112.4
13/03/1973,112.4
14/03/1973,112.4
15/03/1973,112.4
16/03/1973,112.4
17/03/1973,112.4
18/03/1973,112.4
19/03/1973,112.4
20/03/1973,112.4
21/03/1973,112.4
22/03/1973,112.4
23/03/1973,112.4
24/03/1973,112.4
25/03/1973,112.4
26/03/1973,112.4
27/03/1973,112.4
28/03/1973,112.4
29/03/1973,112.4
30/03/1973,112.4
31/03/1973,112.4
01/04/1973,110.3
02/04/1973,110.3
03/04/1973,110.3
04/04/1973,110.3
05/04/1973,110.3
06/04/1973,110.3
07/04/1973,110.3
08/04/1973,110.3
09/04/1973,110.3
10/04/1973,110.3
11/04/1973,110.3
12/04/1973,110.3
13/04/1973,110.3
14/04/1973,110.3
15/04/1973,110.3
16/04/1973,110.3
17/04/1973,110.3
18/04/1973,110.3
19/04/1973,110.3
20/04/1973,110.3
21/04/1973,110.3
22/04/1973,110.3
23/04/1973,110.3
24/04/1973,110.3
25/04/1973,110.3
26/04/1973,110.3
27/04/1973,110.3
28/04/1973,110.3
29/04/1973,110.3
30/04/1973,110.3
01/05/1973,107.2
02/05/1973,107.2
03/05/1973,107.2
04/05/1973,107.2
05/05/1973,107.2
06/05/1973,107.2
07/05/1973,107.2
08/05/1973,107.2
09/05/1973,107.2
10/05/1973,107.2
11/05/1973,107.2
12/05/1973,107.2
13/05/1973,107.2
14/05/1973,107.2
15/05/1973,107.2
16/05/1973,107.2
17/05/1973,107.2
18/05/1973,107.2
19/05/1973,107.2
20/05/1973,107.2
21/05/1973,107.2
22/05/1973,107.2
23/05/1973,107.2
24/05/1973,107.2
25/05/1973,107.2
26/05/1973,107.2
27/05/1973,107.2
28/05/1973,107.2
29/05/1973,107.2
30/05/1973,107.2
31/05/1973,107.2
01/06/1973,104.8
02/06/1973,104.8
03/06/1973,104.8
04/06/1973,104.8
05/06/1973,104.8
06/06/1973,104.8
07/06/1973,104.8
08/06/1973,104.8
09/06/1973,104.8
10/06/1973,104.8
11/06/1973,104.8
12/06/1973,104.8
13/06/1973,104.8
14/06/1973,104.8
15/06/1973,104.8
16/06/1973,104.8
17/06/1973,104.8
18/06/1973,104.8
19/06/1973,104.8
20/06/1973,104.8
21/06/1973,104.8
22/06/1973,104.8
23/06/1973,104.8
24/06/1973,104.8
25/06/1973,104.8
26/06/1973,104.8
27/06/1973,104.8
28/06/1973,104.8
29/06/1973,104.8
30/06/1973,104.8
01/07/1973,105.8
02/07/1973,105.8
03/07/1973,105.8
04/07/1973,105.8
05/07/1973,105.8
06/07/1973,105.8
07/07/1973,105.8
08/07/1973,105.8
09/07/1973,105.8
10/07/1973,105.8
11/07/1973,105.8
12/07/1973,105.8
13/07/1973,105.8
14/07/1973,105.8
15/07/1973,105.8
16/07/1973,105.8
17/07/1973,105.8
18/07/1973,105.8
19/07/1973,105.8
20/07/1973,105.8
21/07/1973,105.8
22/07/1973,105.8
23/07/1973,105.8
24/07/1973,105.8
25/07/1973,105.8
26/07/1973,105.8
27/07/1973,105.8
28/07/1973,105.8
29/07/1973,105.8
30/07/1973,105.8
31/07/1973,105.8
01/08/1973,103.8
02/08/1973,103.8
03/08/1973,103.8
04/08/1973,103.8
05/08/1973,103.8
06/08/1973,103.8
07/08/1973,103.8
08/08/1973,103.8
09/08/1973,103.8
10/08/1973,103.8
11/08/1973,103.8
12/08/1973,103.8
13/08/1973,103.8
14/08/1973,103.8
15/08/1973,103.8
16/08/1973,103.8
17/08/1973,103.8
18/08/1973,103.8
19/08/1973,103.8
20/08/1973,103.8
21/08/1973,103.8
22/08/1973,103.8
23/08/1973,103.8
24/08/1973,103.8
25/08/1973,103.8
26/08/1973,103.8
27/08/1973,103.8
28/08/1973,103.8
29/08/1973,103.8
30/08/1973,103.8
31/08/1973,103.8
01/09/1973,105.6
02/09/1973,105.6
03/09/1973,105.6
04/09/1973,105.6
05/09/1973,105.6
06/09/1973,105.6
07/09/1973,105.6
08/09/1973,105.6
09/09/1973,105.6
10/09/1973,105.6
11/09/1973,105.6
12/09/1973,105.6
13/09/1973,105.6
14/09/1973,105.6
15/09/1973,105.6
16/09/1973,105.6
17/09/1973,105.6
18/09/1973,105.6
19/09/1973,105.6
20/09/1973,105.6
21/09/1973,105.6
22/09/1973,105.6
23/09/1973,105.6
24/09/1973,105.6
25/09/1973,105.6
26/09/1973,105.6
27/09/1973,105.6
28/09/1973,105.6
29/09/1973,105.6
30/09/1973,105.6
01/10/1973,109.8
02/10/1973,109.8
03/10/1973,109.8
04/10/1973,109.8
05/10/1973,109.8
06/10/1973,109.8
07/10/1973,109.8
08/10/1973,109.8
09/10/1973,109.8
10/10/1973,109.8
11/10/1973,109.8
12/10/1973,109.8
13/10/1973,109.8
14/10/1973,109.8
15/10/1973,109.8
16/10/1973,109.8
17/10/1973,109.8
18/10/1973,109.8
19/10/1973,109.8
20/10/1973,109.8
21/10/1973,109.8
22/10/1973,109.8
23/10/1973,109.8
24/10/1973,109.8
25/10/1973,109.8
26/10/1973,109.8
27/10/1973,109.8
28/10/1973,109.8
29/10/1973,109.8
30/10/1973,109.8
31/10/1973,109.8
01/11/1973,102.0
02/11/1973,102.0
03/11/1973,102.0
04/11/1973,102.0
05/11/1973,102.0
06/11/1973,102.0
07/11/1973,102.0
08/11/1973,102.0
09/11/1973,102.0
10/11/1973,102.0
11/11/1973,102.0
12/11/1973,102.0
13/11/1973,102.0
14/11/1973,102.0
15/11/1973,102.0
16/11/1973,102.0
17/11/1973,102.0
18/11/1973,102.0
19/11/1973,102.0
20/11/1973,102.0
21/11/1973,102.0
22/11/1973,102.0
23/11/1973,102.0
24/11/1973,102.0
25/11/1973,102.0
26/11/1973,102.0
27/11/1973,102.0
28/11/1973,102.0
29/11/1973,102.0
30/11/1973,102.0
01/12/1973,94.78
02/12/1973,94.78
03/12/1973,94.78
04/12/1973,94.78
05/12/1973,94.78
06/12/1973,94.78
07/12/1973,94.78
08/12/1973,94.78
09/12/1973,94.78
10/12/1973,94.78
11/12/1973,94.78
12/12/1973,94.78
13/12/1973,94.78
14/12/1973,94.78
15/12/1973,94.78
16/12/1973,94.78
17/12/1973,94.78
18/12/1973,94.78
19/12/1973,94.78
20/12/1973,94.78
21/12/1973,94.78
22/12/1973,94.78
23/12/1973,94.78
24/12/1973,94.78
25/12/1973,94.78
26/12/1973,94.78
27/12/1973,94.78
28/12/1973,94.78
29/12/1973,94.78
30/12/1973,94.78
31/12/1973,94.78
01/01/1974,96.11
02/01/1974,96.11
03/01/1974,96.11
04/01/1974,96.11
05/01/1974,96.11
06/01/1974,96.11
07/01/1974,96.11
08/01/1974,96.11
09/01/1974,96.11
10/01/1974,96.11
11/01/1974,96.11
12/01/1974,96.11
13/01/1974,96.11
14/01/1974,96.11
15/01/1974,96.11
16/01/1974,96.11
17/01/1974,96.11
18/01/1974,96.11
19/01/1974,96.11
20/01/1974,96.11
21/01/1974,96.11
22/01/1974,96.11
23/01/1974,96.11
24/01/1974,96.11
25/01/1974,96.11
26/01/1974,96.11
27/01/1974,96.11
28/01/1974,96.11
29/01/1974,96.11
30/01/1974,96.11
31/01/1974,96.11
01/02/1974,93.45
02/02/1974,93.45
03/02/1974,93.45
04/02/1974,93.45
05/02/1974,93.45
06/02/1974,93.45
07/02/1974,93.45
08/02/1974,93.45
09/02/1974,93.45
10/02/1974,93.45
11/02/1974,93.45
12/02/1974,93.45
13/02/1974,93.45
14/02/1974,93.45
15/02/1974,93.45
16/02/1974,93.45
17/02/1974,93.45
18/02/1974,93.45
19/02/1974,93.45
20/02/1974,93.45
21/02/1974,93.45
22/02/1974,93.45
23/02/1974,93.45
24/02/1974,93.45
25/02/1974,93.45
26/02/1974,93.45
27/02/1974,93.45
28/02/1974,93.45
01/03/1974,97.44
02/03/1974,97.44
03/03/1974,97.44
04/03/1974,97.44
05/03/1974,97.44
06/03/1974,97.44
07/03/1974,97.44
08/03/1974,97.44
09/03/1974,97.44
10/03/1974,97.44
11/03/1974,97.44
12/03/1974,97.44
13/03/1974,97.44
14/03/1974,97.44
15/03/1974,97.44
16/03/1974,97.44
17/03/1974,97.44
18/03/1974,97.44
19/03/1974,97.44
20/03/1974,97.44
21/03/1974,97.44
22/03/1974,97.44
23/03/1974,97.44
24/03/1974,97.44
25/03/1974,97.44
26/03/1974,97.44
27/03/1974,97.44
28/03/1974,97.44
29/03/1974,97.44
30/03/1974,97.44
31/03/1974,97.44
01/04/1974,92.46
02/04/1974,92.46
03/04/1974,92.46
04/04/1974,92.46
05/04/1974,92.46
06/04/1974,92.46
07/04/1974,92.46
08/04/1974,92.46
09/04/1974,92.46
10/04/1974,92.46
11/04/1974,92.46
12/04/1974,92.46
13/04/1974,92.46
14/04/1974,92.46
15/04/1974,92.46
16/04/1974,92.46
17/04/1974,92.46
18/04/1974,92.46
19/04/1974,92.46
20/04/1974,92.46
21/04/1974,92.46
